Latitude,Longitude,region
47.53300648899794,-122.03284637163132,31
47.5741855204236,-122.0357411205835,31
47.53413795361155,-122.0751930438375,31
47.56470753832116,-122.09182829580992,31
47.52501873422815,-122.04544191452035,31
47.574762752805455,-122.00503306077128,31
47.54989596041241,-122.09958248478392,31
41.8644441673319,-71.38623416733189,21
41.88180440472093,-71.38849358011399,21
41.860804483297166,-71.4146673086869,21
41.865224260232914,-71.39351072127535,21
41.86122659703336,-71.35353476255113,21
41.873274293398325,-71.37932866321242,21
41.88696911518057,-71.35520315663516,21
41.76841848162752,-86.78917966322314,0
41.76516359779552,-86.8072232724102,0
28.242512132856994,-82.7169273570454,48
28.247926828620763,-82.72316014628761,48
28.23028257185108,-82.72546635573082,48
28.250078974630515,-82.71027920362417,48
28.244483050254,-82.72637409081148,48
28.25869302442192,-82.7199882398637,48
28.229264978861533,-82.73574177656387,48
28.27111147714661,-82.7058558122938,48
28.253358516567623,-82.71366687399929,48
28.2324249999648,-82.71310917919857,48
28.2623,-82.72574440157902,48
28.25026274093887,-82.72980716230576,48
28.26527448091728,-82.70156151717873,48
28.25701976485445,-82.70492912338703,48
28.25647746092699,-82.71907410483198,48
28.240983579002226,-82.70635922813867,48
28.23746579942017,-82.71677243721099,48
40.79662222826968,-73.55854375348865,39
40.82131946960643,-73.6083334057742,39
41.61470618694681,-72.36913018525402,21
43.05119350499049,-87.99411387688127,24
43.04964973392303,-87.99339686254467,24
43.06281468006387,-88.05317377983336,24
43.08036027888132,-88.04660793113466,24
43.060552890966,-88.02056819941184,24
43.03833895246511,-88.04110526143239,24
43.0583466297356,-88.02785821582404,24
43.04016638702607,-88.00805000041275,24
43.060757819415045,-88.00359995396177,24
43.091210130614606,-88.04781762399159,24
43.09557071358746,-88.02776387421106,24
43.057134002124485,-87.99749333594801,24
43.05633807864539,-88.00998024989656,24
43.06193483568872,-88.03272721437777,24
43.0345651544357,-88.02213071075872,24
43.05402445919138,-88.00892635562523,24
43.04235549314125,-88.01123141680524,24
43.05992391012769,-88.06120359160504,24
43.06619751079523,-87.99386581719138,24
43.03973552945552,-88.00347340179015,24
43.04233754029461,-88.00037570334638,24
43.08822079566895,-88.04248705775514,24
43.04938708723997,-88.00607119147955,24
43.0542248133969,-88.00205203322442,24
43.06431514726983,-88.01968470084066,24
43.07752011098155,-88.0432205644839,24
42.58365072019036,-88.63273109071554,24
33.59847751371717,-83.86754770797064,10
33.608472535629886,-83.87362215669856,10
33.604671238252465,-83.84496614293681,10
33.569649885950994,-83.85253642998954,10
33.59255303326404,-83.86726342028672,10
33.59261161957561,-83.86206919614499,10
43.17161074760193,-73.03183258682118,61
32.40506462460341,-80.68375277288446,36
32.40239589621803,-80.69040121617017,36
32.41238195287026,-80.69336998821004,36
32.44243967351066,-80.682344972744,36
32.40896837822788,-80.71475365115727,36
32.393246492492445,-80.69162685474484,36
32.41135465322384,-80.71362561212946,36
32.435599533276644,-80.67958926477834,36
32.42511379062882,-80.713909438564,36
32.433768441564936,-80.70547282763629,36
32.41368839991794,-80.69561584274332,36
32.43231396735456,-80.68889644391493,36
32.437800588578696,-80.67163267756327,36
32.43704107086306,-80.67958786197043,36
32.433789739820185,-80.67776139320473,36
32.44107902515067,-80.67130122657076,36
32.42587478113229,-80.6928847857391,36
32.409635337141026,-80.71863250581508,36
44.49079059986037,-87.99966622663244,24
44.51755285751626,-87.94420987880912,24
44.48279479834456,-87.97040538015648,24
44.51444772239984,-88.07044498450246,24
44.51055865952837,-87.98841143224074,24
44.5089327295358,-88.03744058487946,24
44.51346188724979,-88.01318849254709,24
44.51599755354013,-88.04457963791243,24
44.528107745280224,-87.9586904069397,24
44.49500397881649,-87.98066538798531,24
44.52135990770877,-87.99107643272524,24
44.499442729384285,-88.01940567232857,24
44.52653597529528,-88.01665816185947,24
44.4908940573868,-87.92285083143837,24
44.507140012391744,-88.01319165473728,24
44.520606653611694,-88.03050600450595,24
44.50488644057192,-88.04832323838926,24
44.53614483592798,-88.0487067794123,24
44.54865587049489,-87.9163256621452,24
44.531577124661,-88.02546181064328,24
44.50626767945107,-88.03291299048755,24
44.51141484981554,-88.052967491244,24
44.48737946301993,-87.99377497321747,24
44.54671629189895,-87.90234934941928,24
44.509984231947165,-87.99883804802903,24
44.47558593233565,-87.96112714942367,24
44.51594843329474,-88.08263172727385,24
44.512169632166966,-88.03304235444833,24
44.51112493247805,-87.92752666031262,24
44.5207607871766,-88.06697929438539,24
44.51394142556979,-88.03317684535676,24
44.53424219866721,-88.03163875963087,24
42.06427970891289,-87.69257961064208,49
42.053285369725856,-87.69735348976279,49
42.058445262692494,-87.6828356027319,49
42.03277922158041,-87.68145973369772,49
42.05066034230401,-87.67590395218201,49
